Training started
Model: DenseNet121
Device: cpu
Batch size: 16, Epochs: 70, LR: 0.0001

Epoch 1/70 - Train Loss: 652715.4435, Val Loss: 676685.3523, Val MAPE: 98.56%, Time: 345.2s, LR: 1.00e-04
Epoch 2/70 - Train Loss: 626359.1171, Val Loss: 632786.0625, Val MAPE: 95.07%, Time: 349.6s, LR: 1.00e-04
Epoch 3/70 - Train Loss: 581519.5154, Val Loss: 587060.4517, Val MAPE: 91.02%, Time: 345.2s, LR: 1.00e-04
Epoch 4/70 - Train Loss: 521573.8291, Val Loss: 503747.1676, Val MAPE: 83.07%, Time: 348.6s, LR: 1.00e-04
Epoch 5/70 - Train Loss: 451861.3769, Val Loss: 436294.5938, Val MAPE: 77.12%, Time: 349.1s, LR: 1.00e-04
Epoch 6/70 - Train Loss: 378011.7604, Val Loss: 388348.8892, Val MAPE: 69.06%, Time: 346.5s, LR: 1.00e-04
Epoch 7/70 - Train Loss: 304197.5237, Val Loss: 266179.5014, Val MAPE: 52.19%, Time: 348.0s, LR: 1.00e-04
Epoch 8/70 - Train Loss: 235126.5839, Val Loss: 208036.8480, Val MAPE: 45.13%, Time: 349.0s, LR: 1.00e-04
Epoch 9/70 - Train Loss: 176037.0263, Val Loss: 138213.8857, Val MAPE: 39.58%, Time: 347.4s, LR: 1.00e-04
Epoch 10/70 - Train Loss: 131464.3413, Val Loss: 109824.2607, Val MAPE: 36.68%, Time: 348.7s, LR: 1.00e-04
Epoch 11/70 - Train Loss: 96658.0499, Val Loss: 80522.2301, Val MAPE: 34.13%, Time: 348.7s, LR: 1.00e-04
Epoch 12/70 - Train Loss: 72475.2586, Val Loss: 55755.1568, Val MAPE: 36.00%, Time: 348.6s, LR: 1.00e-04
Epoch 13/70 - Train Loss: 54857.4573, Val Loss: 50799.9135, Val MAPE: 35.31%, Time: 346.4s, LR: 1.00e-04
Epoch 14/70 - Train Loss: 47307.0190, Val Loss: 43167.3345, Val MAPE: 39.39%, Time: 347.9s, LR: 1.00e-04
Epoch 15/70 - Train Loss: 39812.9564, Val Loss: 37432.3663, Val MAPE: 33.88%, Time: 346.3s, LR: 1.00e-04
Epoch 16/70 - Train Loss: 33963.2990, Val Loss: 32744.4929, Val MAPE: 33.16%, Time: 346.5s, LR: 1.00e-04
Epoch 17/70 - Train Loss: 33252.9215, Val Loss: 35350.9606, Val MAPE: 30.89%, Time: 346.9s, LR: 1.00e-04
Epoch 18/70 - Train Loss: 31257.7370, Val Loss: 35205.1969, Val MAPE: 32.93%, Time: 349.2s, LR: 1.00e-04
Epoch 19/70 - Train Loss: 30661.9928, Val Loss: 33224.7786, Val MAPE: 30.05%, Time: 343.7s, LR: 1.00e-04
Epoch 20/70 - Train Loss: 28883.0213, Val Loss: 32959.4913, Val MAPE: 34.90%, Time: 344.9s, LR: 1.00e-04
Epoch 21/70 - Train Loss: 28252.2372, Val Loss: 29853.7029, Val MAPE: 30.91%, Time: 348.9s, LR: 5.00e-05
Epoch 22/70 - Train Loss: 28159.2266, Val Loss: 30044.2960, Val MAPE: 30.53%, Time: 346.9s, LR: 5.00e-05
