Training started
Model: DenseNet121
Device: cpu
Dataset: cropped_images
Batch size: 16, Epochs: 70, LR: 0.0001

Epoch 1/70 - Train Loss: 653223.3407, Val Loss: 678173.7159, Val MAPE: 98.62%, Time: 313.0s, LR: 1.00e-04
Epoch 2/70 - Train Loss: 629394.7033, Val Loss: 656563.6250, Val MAPE: 97.20%, Time: 288.5s, LR: 1.00e-04
Epoch 3/70 - Train Loss: 588344.1939, Val Loss: 616671.4943, Val MAPE: 94.48%, Time: 269.7s, LR: 1.00e-04
Epoch 4/70 - Train Loss: 533652.8020, Val Loss: 533723.6335, Val MAPE: 86.62%, Time: 269.6s, LR: 1.00e-04
Epoch 5/70 - Train Loss: 467854.0651, Val Loss: 476978.5540, Val MAPE: 81.91%, Time: 269.3s, LR: 1.00e-04
Epoch 6/70 - Train Loss: 394942.9902, Val Loss: 404249.7074, Val MAPE: 74.80%, Time: 269.2s, LR: 1.00e-04
Epoch 7/70 - Train Loss: 323447.8005, Val Loss: 260499.7443, Val MAPE: 53.41%, Time: 268.7s, LR: 1.00e-04
Epoch 8/70 - Train Loss: 257754.8577, Val Loss: 204188.3054, Val MAPE: 43.63%, Time: 270.1s, LR: 1.00e-04
Epoch 9/70 - Train Loss: 197330.2770, Val Loss: 183114.3509, Val MAPE: 43.44%, Time: 268.6s, LR: 1.00e-04
Epoch 10/70 - Train Loss: 148842.7107, Val Loss: 125482.5078, Val MAPE: 37.31%, Time: 268.6s, LR: 1.00e-04
Epoch 11/70 - Train Loss: 110603.5962, Val Loss: 137371.6875, Val MAPE: 37.86%, Time: 268.2s, LR: 1.00e-04
Epoch 12/70 - Train Loss: 83553.9214, Val Loss: 67158.3484, Val MAPE: 38.49%, Time: 268.7s, LR: 1.00e-04
Epoch 13/70 - Train Loss: 63825.8741, Val Loss: 52977.1108, Val MAPE: 36.51%, Time: 267.8s, LR: 1.00e-04
Epoch 14/70 - Train Loss: 50370.3157, Val Loss: 49506.1364, Val MAPE: 34.59%, Time: 267.9s, LR: 1.00e-04
Epoch 15/70 - Train Loss: 42512.3317, Val Loss: 39209.9105, Val MAPE: 33.71%, Time: 269.2s, LR: 1.00e-04
Epoch 16/70 - Train Loss: 36182.9368, Val Loss: 34307.3581, Val MAPE: 32.20%, Time: 268.2s, LR: 1.00e-04
Epoch 17/70 - Train Loss: 31916.7280, Val Loss: 31751.0884, Val MAPE: 32.17%, Time: 268.5s, LR: 1.00e-04
Epoch 18/70 - Train Loss: 30355.0124, Val Loss: 29842.7044, Val MAPE: 32.51%, Time: 269.0s, LR: 1.00e-04
Epoch 19/70 - Train Loss: 28750.6566, Val Loss: 30104.9329, Val MAPE: 33.07%, Time: 268.4s, LR: 1.00e-04
Epoch 20/70 - Train Loss: 28937.3303, Val Loss: 28909.1564, Val MAPE: 31.04%, Time: 267.6s, LR: 1.00e-04
Epoch 21/70 - Train Loss: 27788.8226, Val Loss: 30038.8748, Val MAPE: 29.66%, Time: 269.0s, LR: 1.00e-04
Epoch 22/70 - Train Loss: 27655.4566, Val Loss: 30451.1816, Val MAPE: 29.16%, Time: 268.9s, LR: 1.00e-04
Epoch 23/70 - Train Loss: 27271.2653, Val Loss: 30940.9879, Val MAPE: 32.47%, Time: 267.7s, LR: 1.00e-04
