Training started
Model: DenseNet121
Device: cpu
Dataset: cropped_images
Batch size: 16, Epochs: 70, LR: 0.0001
Target mean: [1415.66259765625, 631.3253173828125]
Target std: [298.98724365234375, 381.3190612792969]

Epoch 1/70 - Train Loss: 0.2719, Val Loss: 0.1301, Val MAPE: 16.03%, Time: 310.1s, LR: 1.00e-04
Epoch 2/70 - Train Loss: 0.1553, Val Loss: 0.1027, Val MAPE: 15.28%, Time: 301.6s, LR: 1.00e-04
Epoch 3/70 - Train Loss: 0.1286, Val Loss: 0.1097, Val MAPE: 13.01%, Time: 326.8s, LR: 1.00e-04
Epoch 4/70 - Train Loss: 0.1166, Val Loss: 0.1024, Val MAPE: 11.40%, Time: 295.8s, LR: 1.00e-04
Epoch 5/70 - Train Loss: 0.1051, Val Loss: 0.0885, Val MAPE: 10.44%, Time: 296.4s, LR: 1.00e-04
Epoch 6/70 - Train Loss: 0.0930, Val Loss: 0.0581, Val MAPE: 10.02%, Time: 332.5s, LR: 1.00e-04
Epoch 7/70 - Train Loss: 0.0949, Val Loss: 0.0529, Val MAPE: 8.50%, Time: 348.4s, LR: 1.00e-04
Epoch 8/70 - Train Loss: 0.0843, Val Loss: 0.0730, Val MAPE: 11.01%, Time: 341.4s, LR: 1.00e-04
Epoch 9/70 - Train Loss: 0.0817, Val Loss: 0.0768, Val MAPE: 9.47%, Time: 304.1s, LR: 1.00e-04
Epoch 10/70 - Train Loss: 0.0762, Val Loss: 0.0514, Val MAPE: 10.19%, Time: 320.0s, LR: 1.00e-04
Epoch 11/70 - Train Loss: 0.0671, Val Loss: 0.0414, Val MAPE: 9.15%, Time: 317.4s, LR: 1.00e-04
Epoch 12/70 - Train Loss: 0.0605, Val Loss: 0.0518, Val MAPE: 9.55%, Time: 363.2s, LR: 1.00e-04
Epoch 13/70 - Train Loss: 0.0583, Val Loss: 0.0707, Val MAPE: 9.81%, Time: 340.8s, LR: 1.00e-04
Epoch 14/70 - Train Loss: 0.0547, Val Loss: 0.0321, Val MAPE: 6.92%, Time: 301.5s, LR: 1.00e-04
Epoch 15/70 - Train Loss: 0.0493, Val Loss: 0.0952, Val MAPE: 12.19%, Time: 310.2s, LR: 1.00e-04
Epoch 16/70 - Train Loss: 0.0509, Val Loss: 0.0348, Val MAPE: 8.96%, Time: 310.9s, LR: 1.00e-04
Epoch 17/70 - Train Loss: 0.0443, Val Loss: 0.0420, Val MAPE: 7.53%, Time: 302.2s, LR: 1.00e-04
Epoch 18/70 - Train Loss: 0.0430, Val Loss: 0.0502, Val MAPE: 8.27%, Time: 275.4s, LR: 1.00e-04
Epoch 19/70 - Train Loss: 0.0343, Val Loss: 0.0232, Val MAPE: 6.67%, Time: 274.3s, LR: 5.00e-05
Epoch 20/70 - Train Loss: 0.0315, Val Loss: 0.0276, Val MAPE: 6.39%, Time: 273.8s, LR: 5.00e-05
Epoch 21/70 - Train Loss: 0.0290, Val Loss: 0.0294, Val MAPE: 6.32%, Time: 274.8s, LR: 5.00e-05
Epoch 22/70 - Train Loss: 0.0289, Val Loss: 0.0449, Val MAPE: 7.32%, Time: 273.2s, LR: 5.00e-05
Epoch 23/70 - Train Loss: 0.0276, Val Loss: 0.0238, Val MAPE: 5.64%, Time: 273.5s, LR: 5.00e-05
Epoch 24/70 - Train Loss: 0.0247, Val Loss: 0.0224, Val MAPE: 5.65%, Time: 274.1s, LR: 2.50e-05
Epoch 25/70 - Train Loss: 0.0246, Val Loss: 0.0249, Val MAPE: 5.06%, Time: 274.1s, LR: 2.50e-05
Epoch 26/70 - Train Loss: 0.0228, Val Loss: 0.0206, Val MAPE: 4.82%, Time: 273.2s, LR: 2.50e-05
Epoch 27/70 - Train Loss: 0.0215, Val Loss: 0.0222, Val MAPE: 5.85%, Time: 273.6s, LR: 2.50e-05
Epoch 28/70 - Train Loss: 0.0215, Val Loss: 0.0195, Val MAPE: 4.89%, Time: 273.4s, LR: 2.50e-05
Epoch 29/70 - Train Loss: 0.0208, Val Loss: 0.0245, Val MAPE: 5.01%, Time: 272.6s, LR: 2.50e-05
Epoch 30/70 - Train Loss: 0.0212, Val Loss: 0.0192, Val MAPE: 5.45%, Time: 273.3s, LR: 2.50e-05
Epoch 31/70 - Train Loss: 0.0204, Val Loss: 0.0222, Val MAPE: 5.37%, Time: 273.1s, LR: 2.50e-05
Epoch 32/70 - Train Loss: 0.0197, Val Loss: 0.0183, Val MAPE: 4.73%, Time: 272.9s, LR: 2.50e-05
Epoch 33/70 - Train Loss: 0.0191, Val Loss: 0.0194, Val MAPE: 4.87%, Time: 272.4s, LR: 2.50e-05
Epoch 34/70 - Train Loss: 0.0210, Val Loss: 0.0201, Val MAPE: 4.84%, Time: 273.0s, LR: 2.50e-05
Epoch 35/70 - Train Loss: 0.0185, Val Loss: 0.0182, Val MAPE: 4.62%, Time: 273.4s, LR: 2.50e-05
Epoch 36/70 - Train Loss: 0.0179, Val Loss: 0.0190, Val MAPE: 4.96%, Time: 272.7s, LR: 2.50e-05
Epoch 37/70 - Train Loss: 0.0182, Val Loss: 0.0211, Val MAPE: 4.91%, Time: 272.7s, LR: 2.50e-05
Epoch 38/70 - Train Loss: 0.0198, Val Loss: 0.0230, Val MAPE: 4.95%, Time: 273.2s, LR: 2.50e-05
Epoch 39/70 - Train Loss: 0.0188, Val Loss: 0.0254, Val MAPE: 5.25%, Time: 274.3s, LR: 2.50e-05
Epoch 40/70 - Train Loss: 0.0176, Val Loss: 0.0247, Val MAPE: 5.22%, Time: 272.9s, LR: 1.25e-05
Epoch 41/70 - Train Loss: 0.0170, Val Loss: 0.0208, Val MAPE: 4.65%, Time: 273.4s, LR: 1.25e-05
Epoch 42/70 - Train Loss: 0.0164, Val Loss: 0.0190, Val MAPE: 4.74%, Time: 272.5s, LR: 1.25e-05
Epoch 43/70 - Train Loss: 0.0170, Val Loss: 0.0198, Val MAPE: 4.39%, Time: 272.1s, LR: 1.25e-05
Epoch 44/70 - Train Loss: 0.0150, Val Loss: 0.0212, Val MAPE: 4.75%, Time: 272.6s, LR: 6.25e-06
Epoch 45/70 - Train Loss: 0.0158, Val Loss: 0.0191, Val MAPE: 4.29%, Time: 272.9s, LR: 6.25e-06
Epoch 46/70 - Train Loss: 0.0155, Val Loss: 0.0195, Val MAPE: 4.30%, Time: 273.5s, LR: 6.25e-06
Epoch 47/70 - Train Loss: 0.0206, Val Loss: 0.0181, Val MAPE: 4.51%, Time: 272.3s, LR: 6.25e-06
Epoch 48/70 - Train Loss: 0.0159, Val Loss: 0.0178, Val MAPE: 4.40%, Time: 272.3s, LR: 6.25e-06
Epoch 49/70 - Train Loss: 0.0153, Val Loss: 0.0175, Val MAPE: 4.54%, Time: 273.7s, LR: 6.25e-06
Epoch 50/70 - Train Loss: 0.0164, Val Loss: 0.0178, Val MAPE: 4.73%, Time: 272.3s, LR: 6.25e-06
Epoch 51/70 - Train Loss: 0.0145, Val Loss: 0.0173, Val MAPE: 4.18%, Time: 273.2s, LR: 6.25e-06
Epoch 52/70 - Train Loss: 0.0152, Val Loss: 0.0179, Val MAPE: 4.07%, Time: 271.8s, LR: 6.25e-06
Epoch 53/70 - Train Loss: 0.0153, Val Loss: 0.0177, Val MAPE: 4.11%, Time: 271.5s, LR: 6.25e-06
Epoch 54/70 - Train Loss: 0.0138, Val Loss: 0.0174, Val MAPE: 4.46%, Time: 271.7s, LR: 6.25e-06
Epoch 55/70 - Train Loss: 0.0148, Val Loss: 0.0198, Val MAPE: 4.79%, Time: 272.3s, LR: 6.25e-06
Epoch 56/70 - Train Loss: 0.0139, Val Loss: 0.0183, Val MAPE: 4.21%, Time: 273.1s, LR: 3.13e-06
Epoch 57/70 - Train Loss: 0.0145, Val Loss: 0.0187, Val MAPE: 4.62%, Time: 271.4s, LR: 3.13e-06
Epoch 58/70 - Train Loss: 0.0158, Val Loss: 0.0174, Val MAPE: 4.29%, Time: 272.8s, LR: 3.13e-06
Epoch 59/70 - Train Loss: 0.0141, Val Loss: 0.0185, Val MAPE: 4.68%, Time: 272.5s, LR: 3.13e-06
Epoch 60/70 - Train Loss: 0.0145, Val Loss: 0.0182, Val MAPE: 4.13%, Time: 272.1s, LR: 1.56e-06
Epoch 61/70 - Train Loss: 0.0139, Val Loss: 0.0184, Val MAPE: 4.54%, Time: 271.8s, LR: 1.56e-06
Epoch 62/70 - Train Loss: 0.0142, Val Loss: 0.0181, Val MAPE: 4.53%, Time: 272.1s, LR: 1.56e-06
Epoch 63/70 - Train Loss: 0.0139, Val Loss: 0.0181, Val MAPE: 4.32%, Time: 271.1s, LR: 1.56e-06
Epoch 64/70 - Train Loss: 0.0133, Val Loss: 0.0185, Val MAPE: 4.57%, Time: 271.4s, LR: 7.81e-07
Epoch 65/70 - Train Loss: 0.0148, Val Loss: 0.0181, Val MAPE: 4.27%, Time: 272.2s, LR: 7.81e-07

Training complete.
